E	water	muscle	lung	dry_spine	dry_rib	adipose	blood	heart	kidney	liver	lymph	pancreas	intestine	skull	cartilage	brain	spleen	iodine_blood	iron	pmma	aluminum	titanium	air	graphite	lead	breast_mammary	skin	iodine	eye_lens	ovary	red_marrow	yellow_marrow	testis	thyroid	bladder
21.5		0.68886195	0.73263852	0.19661852	3.0879911	6.2757039	0.43660947	0.75879624	0.72666874	0.73215219	0.74398584	0.72513526	0.69749335	0.69653201	4.3155998	0.88012641	0.73222957	0.74650975	0.95720468	164.77955	0.59167839	7.5416149	58.39653	0.00078436678	0.71101725	812.04531	0.60574467	0.71983979	103.14772	0.68647655	0.73614191	0.6232396	0.4698802	0.72370584	0.73117076	0.74190115
22.0		0.65569809	0.69721397	0.18732319	2.9027066	5.8871834	0.41968352	0.72179627	0.69165527	0.69676088	0.70792002	0.6899253	0.66432501	0.66325761	4.0520232	0.83535919	0.69675996	0.71027295	0.90843348	154.46047	0.56736159	7.0657586	54.678704	0.0007461108	0.68536206	765.11268	0.5785496	0.68581126	96.933092	0.65430095	0.70046766	0.59511286	0.45147361	0.68874844	0.69594714	0.70573233
22.5		0.6254512	0.66489078	0.17884477	2.7332207	5.5317185	0.4042329	0.6880318	0.65970863	0.66446921	0.67501238	0.65780691	0.6340632	0.63290266	3.8108928	0.79450751	0.66439527	0.6772106	0.86386305	144.98938	0.54517124	6.6313963	51.272386	0.0007112048	0.6619382	721.87733	0.55373663	0.65476415	91.225689	0.62494789	0.66792121	0.56943606	0.43467119	0.65685619	0.66380588	0.67273196
23.0		0.59780799	0.6353373	0.17109549	2.5778983	5.2058995	0.39009878	0.65715726	0.63050067	0.63494557	0.64492515	0.62844864	0.6063966	0.60515416	3.5898902	0.75715386	0.63480351	0.64698308	0.82305026	136.28161	0.52487831	6.2341469	48.145906	0.00067928988	0.64050441	681.97826	0.53105004	0.62637909	85.974468	0.59811453	0.63816767	0.54594756	0.41930035	0.62770084	0.63441722	0.64256114
23.5		0.57249018	0.60825891	0.16399745	2.4352832	4.9066878	0.3771404	0.62886559	0.6037399	0.6078954	0.61735828	0.60155608	0.58104873	0.57973414	3.3869495	0.72292726	0.6076898	0.61928871	0.78560079	128.26121	0.50627981	5.8701146	45.270889	0.00065004798	0.62084743	645.08943	0.51026287	0.60037243	81.133751	0.57353198	0.61090954	0.52441502	0.40520811	0.60099081	0.60748824	0.61491881
24.0		0.54925765	0.58340108	0.15748338	2.3041088	4.6314396	0.36523616	0.6028915	0.57917449	0.58306424	0.59205255	0.57687504	0.55778076	0.55640256	3.2002736	0.69150696	0.58279932	0.59386688	0.75117348	120.86204	0.4892004	5.5359201	42.622666	0.00062320391	0.60278283	610.92819	0.4911791	0.57649917	76.663794	0.55096806	0.58588988	0.50463759	0.3922623	0.57647427	0.58276594	0.58954487
24.5		0.52789743	0.5605381	0.15149366	2.1832487	4.3778025	0.35427834	0.5789997	0.55658119	0.56022643	0.56877811	0.55418014	0.53638097	0.53494659	3.0282638	0.66260852	0.55990614	0.57048649	0.71946547	114.02492	0.47348475	5.2285689	40.179304	0.000598514	0.58614746	579.24104	0.47362498	0.55454211	72.5292	0.53021694	0.56288086	0.48643721	0.38034584	0.55392792	0.56002594	0.56620868
25.0		0.50822306	0.53947219	0.14597606	2.071712	4.1437068	0.34417279	0.55698398	0.53576433	0.53918425	0.54733353	0.53327392	0.51666386	0.51517983	2.8695137	0.63598252	0.53881227	0.54894504	0.69021093	107.69769	0.45899707	4.9454308	37.921419	0.00057576456	0.570799	549.80374	0.45744842	0.53431098	68.698717	0.51109836	0.54168286	0.46965789	0.36935637	0.53315613	0.53907169	0.54470815
25.5		0.49006899	0.52002761	0.14088424	1.9686139	3.9273027	0.33483573	0.53666109	0.51655011	0.51976206	0.52753985	0.51398105	0.49846466	0.49693668	2.7227667	0.61140733	0.51934179	0.52906262	0.66317327	101.8335	0.44561657	4.6841638	35.83169	0.00055476573	0.55661051	522.41494	0.44251427	0.51563674	65.144363	0.4934522	0.52211858	0.45416089	0.35920283	0.51398513	0.51972852	0.5248637
26.0		0.47329007	0.50205028	0.13617755	1.8731773	3.7269659	0.32619391	0.51787037	0.49878614	0.50180583	0.50924016	0.49614779	0.4816389	0.48007202	2.5869194	0.58868855	0.50134045	0.51068151	0.63814497	96.391151	0.43323761	4.4427131	33.894887	0.00053535122	0.54347141	496.89726	0.42870414	0.49837124	61.841558	0.47713814	0.50403254	0.43982469	0.34980556	0.49626256	0.50184333	0.50651792
26.5		0.45775549	0.48540121	0.13181935	1.7846965	3.5412203	0.3181812	0.50046684	0.48233496	0.48517664	0.49229291	0.47963554	0.46605631	0.46445494	2.4609692	0.56765071	0.48466909	0.49365941	0.61493828	91.333013	0.42176484	4.2192225	32.097156	0.00051737095	0.53128163	473.08812	0.41591122	0.48238082	58.767856	0.46202964	0.48728454	0.42653952	0.34109267	0.47985103	0.485278	0.48952879
27.0		0.44335105	0.46995906	0.12777769	1.7025549	3.3687761	0.31073998	0.48432391	0.46707657	0.46975322	0.47657454	0.4643233	0.45160317	0.44997121	2.3440402	0.54814065	0.46920625	0.47787212	0.59338932	86.62614	0.41111518	4.012068	30.426372	0.00050069387	0.51995421	450.84555	0.40404236	0.46754884	55.903663	0.44801626	0.47175219	0.41420963	0.33300151	0.46463058	0.46991197	0.47377232
27.5		0.42997383	0.45561433	0.12402372	1.6261936	3.2084636	0.30381823	0.46932739	0.45290273	0.45542615	0.46197357	0.45010198	0.43817689	0.4365178	2.2353384	0.53002007	0.45484231	0.46320757	0.57334995	82.240511	0.40121364	3.8197833	28.871526	0.00048520175	0.5094105	430.03969	0.39301351	0.45377009	53.231159	0.43499841	0.45732508	0.40274856	0.32547551	0.45049303	0.45563646	0.45913667
28.0		0.41753125	0.44226857	0.12053154	1.5551082	3.0592266	0.29736928	0.45537453	0.43971606	0.44209702	0.44838972	0.43687341	0.42568522	0.42400204	2.1341466	0.51316459	0.4414787	0.44956499	0.55468668	78.149027	0.39199292	3.6410488	27.42267	0.00047078832	0.49958017	410.55287	0.38274914	0.44094996	50.734179	0.42288653	0.44390392	0.39207859	0.31846392	0.43734107	0.44235364	0.44552124
28.5		0.40594217	0.42983542	0.11727843	1.4888553	2.9201364	0.29135216	0.44237523	0.4274312	0.42967955	0.43573506	0.42455159	0.41404728	0.41234271	2.0398345	0.49746506	0.42902894	0.43685599	0.53728234	74.327702	0.38339396	3.4747031	26.071022	0.00045736038	0.49040136	392.28093	0.37318302	0.42900547	48.398501	0.41160212	0.43140164	0.38213152	0.31192219	0.4250894	0.42997773	0.43283781
29.0		0.39513204	0.41823548	0.1142435	1.4270252	2.7903354	0.28572925	0.43024662	0.41596964	0.41809439	0.42392874	0.41305744	0.4031887	0.40146515	1.95182	0.48282115	0.41741356	0.42499931	0.52102906	70.754401	0.3753625	3.3196796	24.808499	0.00044483211	0.48181725	375.1274	0.36425426	0.41786035	46.210962	0.401073	0.4197382	0.37284463	0.30580937	0.41365957	0.41842983	0.42100526
29.5		0.38503543	0.40739905	0.11140844	1.3692575	2.6690679	0.28046751	0.41891594	0.40526248	0.40727188	0.41289978	0.40232156	0.39304422	0.3913038	1.8695903	0.4691447	0.40656277	0.41392362	0.50583197	67.409477	0.36785095	3.1750399	23.627948	0.00043312837	0.47377803	359.00701	0.35590943	0.40744767	44.159938	0.39123586	0.40884334	0.36416285	0.30008957	0.40298276	0.40764073	0.40995239
30.0		0.37559288	0.39726279	0.1087566	1.3152247	2.5556477	0.27553698	0.40831711	0.39524712	0.39714877	0.4025837	0.39228089	0.38355453	0.38179915	1.7926797	0.45635564	0.39641316	0.40356411	0.4916049	64.275127	0.36081611	3.0399307	22.522874	0.00042218071	0.46623859	343.84178	0.34810002	0.39770661	42.234857	0.38203316	0.39865325	0.35603616	0.29473018	0.39299641	0.3975475	0.39961452
30.5		0.3667463	0.3877647	0.10627171	1.2646033	2.4493966	0.27090819	0.39838536	0.38586225	0.38766307	0.39291735	0.38287375	0.37466158	0.37289291	1.7206281	0.44437553	0.38690262	0.39385732	0.47823589	61.33359	0.35421551	2.913516	21.486834	0.0004119222	0.45915422	329.31703	0.34077847	0.3885776	40.409807	0.37340856	0.38910542	0.34841545	0.28969914	0.3836393	0.38808525	0.38992828
31.0		0.35845234	0.37885857	0.10394163	1.2171523	2.349809	0.26655941	0.38907249	0.37706223	0.37876864	0.3838537	0.37405417	0.36632214	0.36454169	1.6530926	0.4331459	0.37798493	0.384756	0.46569189	58.57174	0.34801783	2.7951698	20.515068	0.000402303	0.45249241	315.63527	0.33390947	0.38001634	38.693932	0.36532017	0.38015333	0.3412643	0.28497281	0.37486583	0.37921174	0.38084651
31.5		0.35066625	0.37049658	0.10175383	1.1726206	2.2563583	0.26246795	0.38032857	0.36879978	0.37041771	0.37534406	0.36577462	0.35849145	0.3567006	1.5897158	0.42260623	0.36961219	0.3762112	0.4539072	55.975778	0.34219039	2.6842457	19.602588	0.00039327157	0.44621885	302.73393	0.3274564	0.37197691	37.078912	0.3577246	0.3717488	0.33454486	0.28052653	0.36662881	0.37087944	0.37232036
32.0		0.34334902	0.3626371	0.099697394	1.1307899	2.1685862	0.25861417	0.37211012	0.36103377	0.36256869	0.36734604	0.35799369	0.35113058	0.34933054	1.5301872	0.41270382	0.36174272	0.36818035	0.44282457	53.533669	0.3367049	2.5801784	18.745046	0.00038478298	0.44030403	290.55807	0.3213874	0.36441938	35.557468	0.35058407	0.3638499	0.32822421	0.27633891	0.35888715	0.36304697	0.3643073
32.5		0.33646423	0.35524121	0.09776211	1.0914551	2.0860622	0.25497965	0.3643765	0.35372574	0.3551827	0.35982001	0.35067272	0.3442031	0.34239497	1.4742147	0.40338938	0.35433756	0.36062361	0.43239036	51.234083	0.33153482	2.4824405	17.938351	0.00037679513	0.43472016	279.0558	0.3156727	0.3573064	34.122737	0.3438633	0.35641744	0.32227157	0.27238993	0.35160244	0.35567565	0.3567676
